id,ts,packet_nbr,gnss_lon,gnss_lat,gnss_alt,gnss_vertical_speed,N2_pressure,fuel_pressure,LOX_pressure,fuel_inj_pressure,chamber_pressure,lox_inj_pressure,N2_temp,LOX_temp,LOX_inj_temp,lpb_voltage,lpb_current,hpb_voltage,hpb_current,av_fc_temp,ambient_temp,engine_state,av_state,cam_rec
29051,2025-09-14T10:33:39.206Z,20166,6.71435546875,46.5364990234375,810,0,18,0,0,0,0,0,24,0,22,3.875,0,0,0,52,0,48,2,0
29052,2025-09-14T10:33:39.396Z,20167,6.71435546875,46.5364990234375,810,0,18,0,0,0,0,127.900001525879,24,0,22,3.875,0,0,0,52,0,48,2,0
29054,2025-09-14T10:33:39.758Z,20169,6.71435546875,46.5364990234375,810,0,20,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29056,2025-09-14T10:33:40.118Z,20171,6.71435546875,46.5364990234375,810,0,20,0,0,0,0,0,24,0,22,3.875,0,0,0,52,0,48,2,0
29058,2025-09-14T10:33:40.476Z,20173,6.71435546875,46.5364990234375,810,0,20,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29059,2025-09-14T10:33:40.658Z,20174,6.71435546875,46.5364990234375,810,0,20,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29060,2025-09-14T10:33:40.835Z,20175,6.71435546875,46.5364990234375,810,0,22,0,0,0,0,0,24,0,24,3.75,0,0,0,52,0,48,2,0
29061,2025-09-14T10:33:41.093Z,20176,6.71435546875,46.5364990234375,810,0,22,0,0,0,0,0,24,0,24,3.75,0,0,0,52,0,48,2,0
29062,2025-09-14T10:33:41.251Z,20177,6.71435546875,46.5364990234375,810,0,22,0,0,0,0,0,24,0,22,3.75,0,0,0,52,0,48,2,0
29063,2025-09-14T10:33:41.428Z,20178,6.71435546875,46.5364990234375,810,0,22,0,0,0,0,127.900001525879,24,0,24,3.875,0,0,0,52,0,48,2,0
29064,2025-09-14T10:33:41.605Z,20179,6.71435546875,46.5364990234375,810,0,22,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
